# MJD		R mag
5.219e+04	2.073e+01
5.219e+04	2.082e+01
5.219e+04	2.078e+01
5.219e+04	2.083e+01
5.219e+04	2.084e+01
5.219e+04	2.100e+01
5.219e+04	2.083e+01
5.219e+04	2.073e+01
5.219e+04	2.078e+01
5.219e+04	2.064e+01
5.219e+04	2.066e+01
5.219e+04	2.045e+01
5.219e+04	2.083e+01
5.219e+04	2.059e+01
5.219e+04	2.050e+01
5.219e+04	2.038e+01
5.219e+04	2.018e+01
5.219e+04	2.015e+01
5.219e+04	2.007e+01
5.219e+04	2.007e+01
5.219e+04	2.007e+01
5.219e+04	2.009e+01
5.219e+04	2.010e+01
5.219e+04	2.003e+01
5.219e+04	2.004e+01
5.219e+04	2.004e+01
5.219e+04	2.010e+01
5.219e+04	2.009e+01
5.219e+04	2.012e+01
5.219e+04	2.015e+01
5.219e+04	2.018e+01
5.219e+04	2.021e+01
5.219e+04	2.027e+01
5.219e+04	2.031e+01
5.219e+04	2.049e+01
5.219e+04	2.058e+01
